cycle,level,air_flow,feed_flow,tailings_flow,concentrate_grade,emergency_stop,motor_running
146,50.147,30.000,40.000,38.000,82.053,false,true
147,50.148,30.000,40.000,38.000,82.053,false,true
148,50.149,30.000,40.000,38.000,82.053,false,true
149,50.150,30.000,40.000,38.000,82.053,false,true
150,50.151,30.000,40.000,38.000,82.053,false,true
151,50.152,30.000,40.000,38.000,82.053,false,true
152,50.153,30.000,40.000,38.000,82.053,false,true
153,50.154,30.000,40.000,38.000,82.053,false,true
154,50.155,30.000,40.000,38.000,82.053,false,true
155,50.156,30.000,40.000,38.000,82.053,false,true
156,50.157,30.000,40.000,38.000,82.053,false,true
157,50.158,30.000,40.000,38.000,82.053,false,true
158,50.159,30.000,40.000,38.000,82.053,false,true
159,50.160,30.000,40.000,38.000,82.053,false,true
160,50.161,30.000,40.000,38.000,82.053,false,true
161,50.162,30.000,40.000,38.000,82.053,false,true
162,50.163,30.000,40.000,38.000,82.053,false,true
163,50.164,30.000,40.000,38.000,82.053,false,true
164,50.165,30.000,40.000,38.000,82.053,false,true
165,50.166,30.000,40.000,38.000,82.053,false,true
166,50.167,30.000,40.000,38.000,82.053,false,true
167,50.168,30.000,40.000,38.000,82.053,false,true
168,50.169,30.000,40.000,38.000,82.053,false,true
169,50.170,30.000,40.000,38.000,82.053,false,true
170,50.171,30.000,40.000,38.000,82.053,false,true
171,50.172,30.000,40.000,38.000,82.053,false,true
172,50.173,30.000,40.000,38.000,82.053,false,true
173,50.174,30.000,40.000,38.000,82.053,false,true
174,50.175,30.000,40.000,38.000,82.053,false,true
175,50.176,30.000,40.000,38.000,82.054,false,true
176,50.177,30.000,40.000,38.000,82.054,false,true
177,50.178,30.000,40.000,38.000,82.054,false,true
178,50.179,30.000,40.000,38.000,82.054,false,true
179,50.180,30.000,40.000,38.000,82.054,false,true
180,50.181,30.000,40.000,38.000,82.054,false,true
181,50.182,30.000,40.000,38.000,82.054,false,true
182,50.183,30.000,40.000,38.000,82.054,false,true
183,50.184,30.000,40.000,38.000,82.054,false,true
184,50.185,30.000,40.000,38.000,82.054,false,true
185,50.186,30.000,40.000,38.000,82.054,false,true
186,50.187,30.000,40.000,38.000,82.054,false,true
